date,"16 to 24","25 to 34","35 to 49","50 to 59","60 and over"
2024,8.2,9.5,10.6,12.4,6.6
2023,8.2,12.8,11.6,14.5,7.6
2022,10.5,13.8,11.8,14.9,7.9
2021,13.1,16.8,14.8,14.8,7.7
2020,15.2,18.1,16.9,16.3,9.4
2019,18.3,21.8,16.5,18.4,9.5
2018,23.6,20.8,18.6,15.2,10.2
2017,19.9,21.9,21.1,17.5,8.3
2016,16.6,23.0,18.2,15.0,10.6
2015,23.5,24.2,20.3,16.0,10.4
2014,23.1,24.2,21.0,18.9,11.4
2013,23.4,25.5,22.0,19.2,10.7
2012,22.2,27.4,23.2,20.8,12.6
2011,24.2,23.2,23.9,19.2,13.1
2010,23.1,26.4,23.7,20.0,13.2
2009,24.8,25.5,24.7,21.0,14.0
2008,26.4,27.3,23.9,21.6,12.7
2007,26.1,26.1,23.9,21.3,12.4
2006,25.5,29.6,25.3,22.4,12.4
2005,28.5,31.2,27.5,24.4,13.7
2004,28.9,31.2,29.3,24.1,14.2
2003,31.5,34.4,30.0,24.7,15.0
2002,32.5,34.2,28.1,25.5,15.3
2001,33.2,34.4,29.4,25.7,16.9
2000,32.3,35.5,29.2,27.4,15.8
,35.7,34.9,30.0,27.2,15.9
