cause,men,women,total
Cancers which can be caused by smoking,22800,12800,3550
Upper Respiratory Sites,1200,400,1600
Larynx,400,100,500
Oesophagus,3000,1200,4200
Cervical,0,100,100
Bladder,1300,400,1700
Kidney and Renal Pelvis,800,100,900
Stomach,500,100,600
Pancreas,800,900,1700
Unspecified site,1800,700,2600
Myeloid Leukaemia,300,100,400
Respiratory diseases which can be caused by smoking,12800,10900,23700
"Chronic Obstructive Lung Disease",700,300,1000
Chronic Airway Obstruction,9700,9100,18800
"Pneumonia, Influenza",2500,1500,3900
Circulatory diseases which can be caused by smoking,9700,5000,14700
Other Heart Disease,1800,1200,3000
Ischaemic Heart Disease,4700,1900,6700
Other Arterial Disease,200,200,300
Cerebrovascular Disease,1400,800,2200
Aortic Aneurysm,1600,900,2400
Atherosclerosis,0,0,0
Diseases of the digestive system which can be caused by smoking,400,300,700
Stomach / Duodenal Ulcer,400,300,700
