Category,Observed deaths,Male deaths,Male % attributable to smoking,Female deaths,Female % attributable to smoking,Total
Cancers which can be caused by smoking,68279,22800,59,12800,43,35500
Trachea; Lung; Bronchus,27490,12700,85,8700,69,21400
Upper Respiratory Sites,2548,1200,69,400,44,1600
Larynx,631,400,79,100,71,500
Oesophagus,6668,3000,67,1200,55,4200
Cervical,636,0,0,100,9,100
Bladder,4641,1300,41,400,27,1700
Kidney and Renal Pelvis,3966,800,31,100,7,900
Stomach,3299,500,23,100,11,600
Pancreas,8082,800,19,900,22,1700
Unspecified site,7871,1800,50,700,18,2600
Myeloid Leukaemia,2447,300,20,100,9,400
Respiratory diseases which can be caused by smoking,50173,12800,52,10900,43,23700
