date,All,Asian,Black,Chinese,Mixed,Other,Unknown,White
2011,19.842,11.7335,13.24,13.4715,26.3007,19.7326,18.3043,20.6022
2012,19.3157,10.7765,13.0086,11.4919,24.8968,18.2528,23.4575,20.127
2013,18.3925,10.8475,11.9553,10.0421,25.5257,16.2955,15.9799,19.155
2014,17.8498,10.8242,13.4958,10.8604,24.4186,16.8426,15.2909,18.4959
2015,16.9234,10.0264,11.3144,12.2383,22.3835,16.6759,18.9905,17.594
2016,15.5195,9.4184,10.3137,7.4404,20.8472,14.5837,12.974,16.1823
2017,14.8681,9.2671,10.3802,8.6277,20.5047,16.5265,9.4988,15.393
2018,14.44931,9.096138,11.00753,7.714106,20.38905,15.4667,5.76,14.95013
2019,13.88213,8.333109,9.684314,6.736748,19.52763,15.57584,8.906565,14.43178
2020,13.77137,8.16198,9.67838,4.60497,18.89316,15.47577,19.85206,14.29073
2021,13.03046,7.74495,8.05699,5.08034,15.99035,10.55932,20.94124,13.68145
2022,12.65534,7.42655,4.68931,8.37978,16.97714,13.59671,12.46643,13.23991
