"measure","ethnicity","ethnicity_type","time","time_type","geography","geography_type","geography_code","gender","age","value","value_type","numerator","upper_95_c_i","lower_95_c_i"
"Percentage of adults who smoke - current smokers","All","All","2011","Calendar year","England","Country","E92000001","Persons","18+ yrs","19.842","%","8260053","20.09543","19.58857"
"Percentage of adults who smoke - current smokers","All","All","2012","Calendar year","England","Country","E92000001","Persons","18+ yrs","19.3157","%","8110999","19.56638","19.06502"
"Percentage of adults who smoke - current smokers","All","All","2013","Calendar year","England","Country","E92000001","Persons","18+ yrs","18.3925","%","7780478","18.64083","18.14417"
"Percentage of adults who smoke - current smokers","All","All","2014","Calendar year","England","Country","E92000001","Persons","18+ yrs","17.8498","%","7621002","18.095","17.6046"
"Percentage of adults who smoke - current smokers","All","All","2015","Calendar year","England","Country","E92000001","Persons","18+ yrs","16.9234","%","7294724","17.16624","16.68056"
"Percentage of adults who smoke - current smokers","All","All","2016","Calendar year","England","Country","E92000001","Persons","18+ yrs","15.5195","%","6750389","15.76509","15.27391"
"Percentage of adults who smoke - current smokers","All","All","2017","Calendar year","England","Country","E92000001","Persons","18+ yrs","14.8681","%","6496890","15.11094","14.62526"
"Percentage of adults who smoke - current smokers","All","All","2018","Calendar year","England","Country","E92000001","Persons","18+ yrs","14.44931","%","6360957","14.68633","14.21229"
"Percentage of adults who smoke - current smokers","All","All","2019","Calendar year","England","Country","E92000001","Persons","18+ yrs","13.88213","%","6144703","14.1204","13.64387"
"Percentage of adults who smoke - current smokers","All","All","2020","Calendar year","England","Country","E92000001","Persons","18+ yrs","13.77137","%","NA","14.0698","13.47295"
"Percentage of adults who smoke - current smokers","All","All","2021","Calendar year","England","Country","E92000001","Persons","18+ yrs","13.03046","%","NA","13.32345","12.73746"
"Percentage of adults who smoke - current smokers","All","All","2022","Calendar year","England","Country","E92000001","Persons","18+ yrs","12.65534","%","NA","12.96856","12.34212"
"Percentage of adults who smoke - current smokers","Asian","DfE 6+1","2011","Calendar year","England","Country","E92000001","Persons","18+ yrs","11.7335","%","NA","12.51848","10.94852"
"Percentage of adults who smoke - current smokers","Asian","DfE 6+1","2012","Calendar year","England","Country","E92000001","Persons","18+ yrs","10.7765","%","NA","11.52189","10.03111"
"Percentage of adults who smoke - current smokers","Asian","DfE 6+1","2013","Calendar year","England","Country","E92000001","Persons","18+ yrs","10.8475","%","NA","11.61543","10.07957"
"Percentage of adults who smoke - current smokers","Asian","DfE 6+1","2014","Calendar year","England","Country","E92000001","Persons","18+ yrs","10.8242","%","NA","11.58135","10.06705"
"Percentage of adults who smoke - current smokers","Asian","DfE 6+1","2015","Calendar year","England","Country","E92000001","Persons","18+ yrs","10.0264","%","NA","10.74866","9.30414"
"Percentage of adults who smoke - current smokers","Asian","DfE 6+1","2016","Calendar year","England","Country","E92000001","Persons","18+ yrs","9.4184","%","NA","10.1242","8.712604"
"Percentage of adults who smoke - current smokers","Asian","DfE 6+1","2017","Calendar year","England","Country","E92000001","Persons","18+ yrs","9.2671","%","NA","9.97662","8.55758"
"Percentage of adults who smoke - current smokers","Asian","DfE 6+1","2018","Calendar year","England","Country","E92000001","Persons","18+ yrs","9.096138","%","NA","9.806198","8.386078"
"Percentage of adults who smoke - current smokers","Asian","DfE 6+1","2019","Calendar year","England","Country","E92000001","Persons","18+ yrs","8.333109","%","NA","9.031092","7.635126"
"Percentage of adults who smoke - current smokers","Asian","DfE 6+1","2020","Calendar year","England","Country","E92000001","Persons","18+ yrs","8.16198","%","NA","9.12076","7.2032"
"Percentage of adults who smoke - current smokers","Asian","DfE 6+1","2021","Calendar year","England","Country","E92000001","Persons","18+ yrs","7.74495","%","NA","8.7009","6.789"
"Percentage of adults who smoke - current smokers","Asian","DfE 6+1","2022","Calendar year","England","Country","E92000001","Persons","18+ yrs","7.42655","%","NA","8.33823","6.51487"
"Percentage of adults who smoke - current smokers","Chinese","DfE 6+1","2011","Calendar year","England","Country","E92000001","Persons","18+ yrs","13.4715","%","NA","16.71158","10.23142"
"Percentage of adults who smoke - current smokers","Chinese","DfE 6+1","2012","Calendar year","England","Country","E92000001","Persons","18+ yrs","11.4919","%","NA","14.1332","8.850604"
"Percentage of adults who smoke - current smokers","Chinese","DfE 6+1","2013","Calendar year","England","Country","E92000001","Persons","18+ yrs","10.0421","%","NA","12.45016","7.634044"
"Percentage of adults who smoke - current smokers","Chinese","DfE 6+1","2014","Calendar year","England","Country","E92000001","Persons","18+ yrs","10.8604","%","NA","13.22083","8.499972"
"Percentage of adults who smoke - current smokers","Chinese","DfE 6+1","2015","Calendar year","England","Country","E92000001","Persons","18+ yrs","12.2383","%","NA","15.05345","9.423152"
"Percentage of adults who smoke - current smokers","Chinese","DfE 6+1","2016","Calendar year","England","Country","E92000001","Persons","18+ yrs","7.4404","%","NA","9.711452","5.169348"
"Percentage of adults who smoke - current smokers","Chinese","DfE 6+1","2017","Calendar year","England","Country","E92000001","Persons","18+ yrs","8.6277","%","NA","10.85524","6.40016"
"Percentage of adults who smoke - current smokers","Chinese","DfE 6+1","2018","Calendar year","England","Country","E92000001","Persons","18+ yrs","7.714106","%","NA","10.503","4.925212"
"Percentage of adults who smoke - current smokers","Chinese","DfE 6+1","2019","Calendar year","England","Country","E92000001","Persons","18+ yrs","6.736748","%","NA","8.935895","4.537602"
"Percentage of adults who smoke - current smokers","Chinese","DfE 6+1","2020","Calendar year","England","Country","E92000001","Persons","18+ yrs","4.60497","%","NA","6.85139","2.35855"
"Percentage of adults who smoke - current smokers","Chinese","DfE 6+1","2021","Calendar year","England","Country","E92000001","Persons","18+ yrs","5.08034","%","NA","7.65644","2.50425"
"Percentage of adults who smoke - current smokers","Chinese","DfE 6+1","2022","Calendar year","England","Country","E92000001","Persons","18+ yrs","8.37978","%","NA","9.83598","6.92359"
"Percentage of adults who smoke - current smokers","Black","DfE 6+1","2011","Calendar year","England","Country","E92000001","Persons","18+ yrs","13.24","%","NA","14.41365","12.06635"
"Percentage of adults who smoke - current smokers","Black","DfE 6+1","2012","Calendar year","England","Country","E92000001","Persons","18+ yrs","13.0086","%","NA","14.25046","11.76674"
"Percentage of adults who smoke - current smokers","Black","DfE 6+1","2013","Calendar year","England","Country","E92000001","Persons","18+ yrs","11.9553","%","NA","13.13267","10.77793"
"Percentage of adults who smoke - current smokers","Black","DfE 6+1","2014","Calendar year","England","Country","E92000001","Persons","18+ yrs","13.4958","%","NA","14.75726","12.23434"
"Percentage of adults who smoke - current smokers","Black","DfE 6+1","2015","Calendar year","England","Country","E92000001","Persons","18+ yrs","11.3144","%","NA","12.42925","10.19955"
"Percentage of adults who smoke - current smokers","Black","DfE 6+1","2016","Calendar year","England","Country","E92000001","Persons","18+ yrs","10.3137","%","NA","11.43933","9.188072"
"Percentage of adults who smoke - current smokers","Black","DfE 6+1","2017","Calendar year","England","Country","E92000001","Persons","18+ yrs","10.3802","%","NA","11.53425","9.226152"
"Percentage of adults who smoke - current smokers","Black","DfE 6+1","2018","Calendar year","England","Country","E92000001","Persons","18+ yrs","11.00753","%","NA","12.26938","9.745683"
"Percentage of adults who smoke - current smokers","Black","DfE 6+1","2019","Calendar year","England","Country","E92000001","Persons","18+ yrs","9.684314","%","NA","10.79968","8.568951"
"Percentage of adults who smoke - current smokers","Black","DfE 6+1","2020","Calendar year","England","Country","E92000001","Persons","18+ yrs","9.67838","%","NA","11.22488","8.13187"
"Percentage of adults who smoke - current smokers","Black","DfE 6+1","2021","Calendar year","England","Country","E92000001","Persons","18+ yrs","8.05699","%","NA","9.51202","6.60196"
"Percentage of adults who smoke - current smokers","Black","DfE 6+1","2022","Calendar year","England","Country","E92000001","Persons","18+ yrs","4.68931","%","NA","7.2779","2.10073"
"Percentage of adults who smoke - current smokers","Mixed","DfE 6+1","2011","Calendar year","England","Country","E92000001","Persons","18+ yrs","26.3007","%","NA","29.12369","23.47771"
"Percentage of adults who smoke - current smokers","Mixed","DfE 6+1","2012","Calendar year","England","Country","E92000001","Persons","18+ yrs","24.8968","%","NA","27.61865","22.17495"
"Percentage of adults who smoke - current smokers","Mixed","DfE 6+1","2013","Calendar year","England","Country","E92000001","Persons","18+ yrs","25.5257","%","NA","28.30126","22.75014"
"Percentage of adults who smoke - current smokers","Mixed","DfE 6+1","2014","Calendar year","England","Country","E92000001","Persons","18+ yrs","24.4186","%","NA","26.97032","21.86688"
