date,Men,Women,Both
2024,10.2,8.1,9.1
2023,11.5,9.6,10.5
2022,12.5,10.0,11.2
2021,13.7,11.7,12.7
2020,15.3,13.7,14.5
2019,17.9,13.8,15.8
2018,17.0,16.2,16.6
2017,18.7,15.0,16.8
2016,17.7,14.5,16.1
2015,19.1,16.6,17.8
2014,20.4,17.2,18.8
2013,21.6,16.8,19.2
2012,22.2,18.8,20.4
2011,21.0,18.8,19.8
2010,20.9,19.8,20.3
2009,22.0,20.2,21.0
2008,21.6,20.6,21.1
2007,22.1,19.7,20.9
2006,23.2,20.9,22.0
2005,25.3,22.7,23.9
2004,26.4,23.0,24.6
2003,28.0,24.2,26.0
2002,26.8,25.0,25.9
2001,28.3,25.6,26.9
2000,28.5,25.5,27.0
